Year,Country of origin,Country of asylum,Population Type,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total,Total
2020,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477
2020,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2020,Myanmar,Belgium,REF,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8
2020,Myanmar,Bangladesh,REF,67019,95390,56609,214409,14042,0,447469,69573,99047,61047,171825,17557,0,419049,866518
2020,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
2020,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2020,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2020,Myanmar,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
2020,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511
2020,Myanmar,Germany,REF,7,16,12,180,22,0,237,8,8,18,550,48,0,632,869
2020,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2020,Myanmar,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2020,Myanmar,India,REF,1408,1920,1091,4719,197,0,9335,1370,2123,1209,5124,237,0,10063,19398
2020,Myanmar,Indonesia,REF,17,32,22,82,0,0,153,28,50,23,232,5,0,338,491
2020,Myanmar,Ireland,REF,0,0,0,5,0,0,5,0,0,0,8,0,0,8,13
2020,Myanmar,Japan,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
2020,Myanmar,Rep. of Korea,REF,0,0,0,0,0,168,168,0,0,0,0,0,222,222,390
2020,Myanmar,Sri Lanka,REF,5,8,0,6,0,0,19,0,7,0,8,0,0,15,34
2020,Myanmar,Malaysia,REF,7162,6419,2698,21478,496,0,38253,7655,6659,3182,62912,917,0,81325,119578
2020,Myanmar,Nepal,REF,32,39,18,75,5,0,169,28,44,21,97,0,0,190,359
2020,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
2020,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2020,Myanmar,Nauru,REF,0,0,6,15,5,0,26,0,0,5,43,0,0,48,74
2020,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2020,Myanmar,Pakistan,REF,0,0,5,5,0,0,10,0,0,8,5,0,0,13,23
2020,Myanmar,Philippines,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2020,Myanmar,Papua New Guinea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2020,Myanmar,Romania,REF,0,0,0,8,0,0,8,0,10,0,6,0,0,16,24
2020,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020,Myanmar,Switzerland,REF,0,6,0,0,0,0,6,0,0,0,9,0,0,9,30
2020,Myanmar,Thailand,REF,3370,7438,6643,25652,3269,0,46372,3556,7864,6746,24204,3063,0,45433,91805
2020,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272
2021,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
2021,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2021,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,Myanmar,Bangladesh,REF,74275,99810,60660,223655,14501,0,472901,77459,103520,66043,180599,18376,0,445997,918898
2021,Myanmar,Cambodia,REF,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2021,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2021,Myanmar,Czechia,REF,0,0,0,0,0,65,65,0,0,0,0,0,84,84,149
2021,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2021,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2021,Myanmar,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
2021,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
2021,Myanmar,Germany,REF,6,19,13,182,26,0,246,9,8,18,551,50,0,636,890
2021,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2021,Myanmar,India,REF,1348,2109,1248,5085,232,0,10022,1369,2252,1363,5466,282,0,10732,35832
2021,Myanmar,Indonesia,REF,18,27,25,83,0,0,153,27,38,26,236,0,0,327,480
2021,Myanmar,Ireland,REF,0,0,0,5,0,0,5,0,0,0,8,0,0,8,13
2021,Myanmar,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021,Myanmar,Japan,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
2021,Myanmar,Rep. of Korea,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396
2021,Myanmar,Sri Lanka,REF,5,8,0,6,0,0,19,0,7,0,9,0,0,16,35
2021,Myanmar,Malaysia,REF,5769,7898,2786,21810,490,0,38753,6266,8150,3296,63219,914,0,81845,120598
2021,Myanmar,Nepal,REF,33,37,21,83,6,0,180,25,41,26,100,5,0,197,377
2021,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
2021,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2021,Myanmar,Nauru,REF,0,0,5,15,5,0,25,0,0,5,41,0,0,46,71
2021,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2021,Myanmar,Pakistan,REF,0,0,5,5,0,0,10,0,0,8,5,0,0,13,23
2021,Myanmar,Philippines,REF,0,0,0,5,0,0,5,0,0,0,5,0,0,5,10
2021,Myanmar,Papua New Guinea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2021,Myanmar,Romania,REF,0,0,5,5,0,0,10,0,8,5,7,0,0,20,30
2021,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2021,Myanmar,Switzerland,REF,0,6,0,0,0,0,6,0,0,0,9,0,0,9,41
2021,Myanmar,Thailand,REF,2594,7178,6695,26365,3347,0,46179,2677,7622,6890,24867,3175,0,45231,96086
2021,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223
